SM,BAI,SAVIT,B4,B6,NDSI,MNDWI,CVI,SAVI,GEMI,EVI2,CIG,EVI,GBNDVI,NDWI,GNDVI,BNDVI,GRNDVI,kRVI,RVI,kNDVI,NDVI,B5,NDDI,NDVIT,B7,GARI,GLI,CSIT,kEVI,NGRDI,VARI,NBR,MNDVI,GVMI,B2,NBRT,kVARI,B3,B1
0.39,10.11351305922544,0.5397351892115072,0.3735,295.5,-0.3589743589743589,-0.3589743589743589,3.4859999999999998,0.4111517493616727,0.7575296208055974,0.4789573874233089,3.1499999999999995,0.5534705707491082,0.4155770324047754,-0.6116504854368932,0.6116504854368932,0.7066483893077451,0.3856427378964941,2.4109105506055624,4.940476190476191,0.4136463063668069,0.6633266533066132,0.1908,24.67243975903612,0.9881087145751364,0.0879,0.9226856561546288,0.125703564727955,143.7951525441347,1.0558826179234722,0.0869565217391304,0.1420118343195267,0.6189856957087125,0.6189856957087125,0.628826969384245,0.09,0.986187382900195,0.0144395836638013,0.0756,0.0642
0.32,10.59590860181158,0.532088065707364,0.3666,296.0,-0.3875467846206192,-0.3875467846206192,3.6524222222222233,0.3950804947142956,0.7418717184016471,0.4580908554874766,3.0733333333333333,0.5292288326977899,0.4011083508503726,-0.6057818659658344,0.6057818659658344,0.6921301638587585,0.3646007816862088,2.2638623123534933,4.5427509293680295,0.3872290530056558,0.6391683433936955,0.2039,37.28905548809452,0.9870526123400194,0.1044,0.9036476256022024,0.0995723885155772,118.63156259707984,0.980196578008112,0.0544815465729349,0.0894230769230769,0.5566878980891721,0.5566878980891721,0.5790186125211506,0.09,0.9832820038743786,0.0057058567208217,0.0807,0.0667
0.5,12.580357030532523,0.504471523960135,0.3416,296.5,-0.288563829787234,-0.288563829787234,2.5719206917634723,0.3577531867208293,0.7027187325188354,0.4123398429427568,2.192523364485981,0.4928408783914168,0.3045636814970403,-0.5229603209986625,0.5229603209986625,0.6395488360931125,0.2774869109947643,2.039769842298416,3.962877030162413,0.3420554503271965,0.5970079476390837,0.1938,15.124971851918572,0.9851472514645474,0.0976,0.9096459096459096,0.1404209965361045,118.04384485666104,1.0198647537047747,0.1076604554865425,0.1761219305673159,0.5555555555555555,0.5555555555555555,0.5793991416309012,0.107,0.983199467369286,0.0221055346999206,0.0862,0.0751
0.47,11.995843200414187,0.5119688209160291,0.3485,297.0,-0.3002348205300234,-0.3002348205300234,2.8383626771730266,0.3617006471365945,0.7079128209884079,0.4162022624492358,2.341323106423778,0.507577533005234,0.3081831831831831,-0.5393109540636043,0.5393109540636043,0.6266044340723453,0.287403029183598,2.0281015735452037,3.933408577878105,0.3395201741338998,0.594600777854038,0.1938,20.50850688574329,0.9850117656802118,0.0976,0.9319620253164558,0.1060445387062566,120.22547883203622,1.0874247508569028,0.0813893208916537,0.1390611160318866,0.5624299484420533,0.5624299484420533,0.5845257021727609,0.1043,0.983501818105655,0.0128902395658864,0.0886,0.08
0.07,20.16892686384078,0.3993516104002853,0.2589,313.6,-0.3187844177034468,-0.3187844177034468,1.8575743124529385,0.080603152844414,0.3917134922842504,0.0845245351150568,0.5502994011976048,0.0999829960891005,-0.0717102904266762,-0.2157783517257572,0.2157783517257572,0.3249744114636642,-0.1728434504792331,1.0333661334375788,1.2938530734632685,0.0164093091199323,0.1281045751633987,0.3233,-3.9223008335287943,0.952671761804998,0.2846,0.1480324797001875,0.003003003003003,29.00822134897529,0.0653991138835264,-0.0901661672568782,-0.1407312925170067,-0.0472861085556577,-0.0472861085556577,0.0818387339864355,0.167,0.9333515979923852,0.0159517376087209,0.2001,0.1319
0.07,19.76823327938582,0.3990757757362048,0.2589,313.20000000000005,-0.3346823148522865,-0.3346823148522865,1.96373230681798,0.0736389097615957,0.3817733131879572,0.0769604203552458,0.5748175182481752,0.0898542993365118,-0.0673631123919308,-0.2232459248759744,0.2232459248759744,0.3249744114636642,-0.1758713990132103,1.027367484484776,1.2629268292682927,0.0134990250629036,0.116188833800388,0.3298,-3.1705957565828906,0.9516011949317166,0.2846,0.1276849642004773,-0.0121676430824695,29.04526888581944,0.0525123626016697,-0.1099079588521927,-0.1709473684210526,-0.0472861085556577,-0.0472861085556577,0.0818387339864355,0.1644,0.9334337792881612,0.0238722841373465,0.205,0.1319
0.44,14.750722379751736,0.4413301146705831,0.2935,307.20000000000005,-0.3877700476016111,-0.3877700476016111,2.259320413909938,0.1037979717637701,0.4104142588706391,0.1081503663023901,0.7553827751196174,0.1198750727211489,-0.0010211027910142,-0.274148035598003,0.274148035598003,0.3962892483349191,-0.1315283325935788,1.0485243735841243,1.3638475836431228,0.0236874768051823,0.1539217613524671,0.379,-3.560534497444636,0.9559433327429738,0.3015,0.1770736253494875,-0.0113821138211381,31.68834646213377,0.0644700754591557,-0.1255230125523012,-0.1878669275929549,-0.0134453781512604,-0.0134453781512604,0.1006993006993007,0.1672,0.9388161159416,0.0308407255877207,0.2152,0.1269
0.54,18.137338831607146,0.4365465885018722,0.2868,302.5,-0.3290953545232273,-0.3290953545232273,2.449948575848498,0.1740812379110251,0.5070103817776371,0.1883160361566789,1.0903790087463556,0.2123213804259908,0.0896656534954406,-0.3528301886792452,0.3528301886792452,0.473792394655704,-0.0191518467852257,1.1717355308121404,1.7835820895522387,0.07907755266495,0.2815013404825737,0.2718,-8.893057229983702,0.966645203628008,0.1962,0.4384615384615385,0.0208333333333333,48.32309753077059,0.1954830961816076,-0.0791946308724831,-0.1206543967280162,0.1875776397515527,0.1875776397515527,0.2829187396351576,0.1372,0.9594510462617988,0.0121157261408684,0.1608,0.1024
0.09,13.582568023538045,0.4895007524518273,0.3303,305.8,-0.3413205537806176,-0.3413205537806176,2.6701697655618437,0.284181568088033,0.6298774845277044,0.3174203222753475,1.6701697655618433,0.3756363636363637,0.2076782449725777,-0.4550660792951542,0.4550660792951542,0.560595322466336,0.1435000865501125,1.5131147476141071,2.6701697655618437,0.2041748185598155,0.4550660792951542,0.2519,0.0,0.977354436616131,0.1533,0.7412557943531395,0.066149536737772,70.45777716912042,0.5408773500829279,0.0,0.0,0.3660049627791563,0.3660049627791563,0.4257786613651425,0.1237,0.97201144397108,0.0,0.1237,0.093
0.07,12.938404912039548,0.4974266616506136,0.3372,305.3,-0.3457792207792207,-0.3457792207792207,2.7960026845802872,0.2962150301700493,0.6428882588343374,0.3316790329713527,1.789081885856079,0.3899198498086504,0.2290869327501366,-0.4721676489849377,0.4721676489849377,0.576437587657784,0.1641636457793888,1.5590345858783683,2.782178217821782,0.2184552678433161,0.4712041884816753,0.2487,-979.1494661921612,0.9782913849317486,0.1499,0.7521263669501821,0.0661375661375661,73.6816137060038,0.5597241482115516,-0.0012391573729863,-0.0019801980198019,0.3845206323136932,0.3845206323136932,0.4402899028166695,0.1209,0.9732196467008156,2.952293458365955e-06,0.1212,0.0906
0.1,5.9495924350694205,0.6347470759689484,0.4693,296.0,-0.382312925170068,-0.382312925170068,4.354520027557298,0.5082158105835166,0.8587848244453921,0.5941073265170307,4.168502202643172,0.7027839404565949,0.4877159613250911,-0.6757721835386538,0.6757721835386538,0.7378263284576929,0.4743952246308513,2.817560715535744,6.134640522875817,0.4761052543680824,0.7196775375595457,0.2032,31.783133338002223,0.9903962215977288,0.0973,0.970327954190526,0.1042870173304956,162.94686258715035,1.1727669357785295,0.0854751942618051,0.1481865284974094,0.6565478291563713,0.6565478291563713,0.6583163413923682,0.0908,0.98780092544353,0.0142820659674024,0.0765,0.0708
0.13,6.372801901134261,0.6217125526708306,0.4558,296.0,-0.3956738768718801,-0.3956738768718801,4.638361408139106,0.4830811196986426,0.8351195063018388,0.5610502305148567,4.019823788546256,0.6425584850893258,0.4825174825174825,-0.6677643615075008,0.6677643615075008,0.7393627170387331,0.4458366375892149,2.5848836322878697,5.432657926102503,0.4421018350535408,0.6890865295534555,0.2097,63.635690711029,0.9891619911031478,0.1039,0.9180241723594325,0.0880766926303175,148.20643550191193,0.9800204602276664,0.0394962793360045,0.0648496240601504,0.6287296766124709,0.6287296766124709,0.635427394438723,0.0908,0.9865957524333836,0.0030065294923785,0.0839,0.0683
0.26,7.431118178930179,0.5934039980603949,0.4259,296.0,-0.361941610974323,-0.361941610974323,3.820757090812728,0.4695605787824231,0.8190579388591157,0.5491197864031641,3.695700110253583,0.6569274972946751,0.4508601601090104,-0.6488579171506001,0.6488579171506001,0.7159548751007252,0.442750677506775,2.699283874956122,5.7710027100271,0.4593548190394763,0.7046227736641985,0.1936,24.27121264957888,0.9897941639930512,0.0974,0.9805022156573115,0.1139085047589806,147.72601143237694,1.2536188769739645,0.1027355623100303,0.1797872340425531,0.6277469902541564,0.6277469902541564,0.6350069951810975,0.0907,0.9865524531940444,0.0206805405852783,0.0738,0.0705
