B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity,sr_cloud_qa,pixel_qa,radsat_qa,ARVI,ATSAVI,BAI,BNDVI,CIG,CSIT,CVI,DVI,EVI,EVI2,ExG,GARI,GBNDVI,GDVI,GEMI,GLI,GNDVI,GRNDVI,GVMI,MCARI1,MCARI2,MGRVI,MNDVI,MNDWI,MNLI,MSAVI,MSR,MTVI1,MTVI2,NBR,NBRT,NDBI,NDDI,NDSI,NDVI,NDVIT,NDWI,NGRDI,NLI,NMDI,OCVI,OSAVI,RDVI,RVI,SARVI,SAVI,SAVI2,SAVIT,TGI,TSAVI,TVI,VARI,WDRVI,WDVI,kEVI,kNDVI,kRVI,kVARI,system:index,T0630,FIELD,SM0630,T0614,T0513,CROP,SM0529,SM0513,SA0529,SM0614,T0529,SA0513,SA0614,sampling p,SA0630
0.0731,0.11320000000000001,0.11960000000000001,0.3864,0.2742,306.7,0.15710000000000002,0.016,0,66,0,0.6818280739934712,0.40060060060060065,9.352689160008799,0.6818280739934712,2.4134275618374557,80.19497507086069,3.606412865686923,0.26680000000000004,0.428732122770368,0.39858017018835457,0.03370000000000001,0.7091022833906787,0.3493975903614458,0.8251422659079151,0.7058173735354133,0.08041040324504893,0.5468374699759807,0.248062015503876,0.4661642803315749,0.374208,0.32641274716873625,-0.05494129447165025,0.4218951241950321,-0.4155911202891068,0.04681983432391974,0.38429945230063733,1.0845385084098105,0.37420799999999993,0.3264127471687362,0.4218951241950321,0.9753679338129663,-0.16984559491371481,-54.900297619048025,-0.4155911202891068,0.5272727272727273,0.9811923523144926,-0.5468374699759807,-0.027491408934707917,0.11046638931464857,0.5348560079443893,3.6382874145911157,0.40060060060060065,0.37506847859606074,3.230769230769231,0.42932511133949985,0.35431606905710494,3.230769230769231,0.5506663438853657,2.1820000000000004,0.5272727272727273,15.751999999999999,-0.04007514088916721,-0.5116279069767441,0.26680000000000004,0.49435956044897716,0.2710683410097066,1.7437414404120875,0.0013895420832881677,0,28.97,101A,0.13,23.77,24.93,alfalfa,0.14,0.39,0.09,0.1,25.8,0.6,0,1,0.05
0.0731,0.11320000000000001,0.11710000000000001,0.3966,0.2645,307.20000000000005,0.1472,0.016,0,66,0,0.6887374920161805,0.41487308891197855,8.803439186766457,0.6887374920161805,2.503533568904593,87.70486582880434,3.624238347338585,0.27949999999999997,0.45053032012637406,0.4165077132161846,0.03620000000000001,0.7312156383628589,0.36078229541945445,0.8396246590064546,0.7215961049973476,0.08689390302448394,0.5559042761867399,0.2652735683522093,0.49623380536306116,0.396396,0.3463255937036355,-0.03385915673483082,0.45862449429937474,-0.4005824728620598,0.0630756845250921,0.4017348062350717,1.13958987460222,0.396396,0.3463255937036355,0.45862449429937474,0.9774533225284407,-0.19981848434427468,-93.12220541267352,-0.4005824728620598,0.5440918824216467,0.982022308035892,-0.5559042761867399,-0.016934433347807212,0.14647520499537228,0.5434909515469936,3.6439333610578077,0.41487308891197855,0.3899662564079747,3.386848847139197,0.44022589644145066,0.36929378344453984,3.386848847139197,0.561353295898914,2.2695000000000007,0.5440918824216467,16.613999999999997,-0.024809160305343515,-0.4940035723398826,0.27949999999999997,0.5311095237039837,0.2876808131746026,1.8077300695962257,5.270459463938686E-4,1,29.1,101B,0.13,24.9,25.2,alfalfa,0.15,0.32,0.07,0.11,25.23,0.59,0.02,2,0.05
0.08030000000000001,0.1264,0.168,0.32170000000000004,0.2288,311.8,0.1472,0.016,0,66,0,0.600497512437811,0.23657072494997694,13.677852916302887,0.600497512437811,1.5450949367088609,70.09178821429569,3.3827211184105117,0.15370000000000003,0.22243769718371012,0.2227665371905618,0.004500000000000004,0.3802120141342757,0.21763815291445873,0.5714379748561458,0.5416219702301669,0.008980243464378373,0.4358402142378933,0.04431098847589684,0.4321616573272203,0.15643200000000004,0.1283795800773438,-0.2770763349936291,0.37214757944124555,-0.28828828828828823,-0.10147003098071743,0.2152423427806357,0.5358634978627904,0.15643200000000004,0.1283795800773438,0.37214757944124555,0.971867355566141,-0.1687556766575841,-6.146410445709097,-0.28828828828828823,0.3138656320196039,0.9679557827190848,-0.4358402142378933,-0.14130434782608695,-0.23761058796484835,0.5953384577237788,3.54026806853394,0.23657072494997694,0.2196386751949964,1.9148809523809525,0.3443651925820257,0.20635027186681887,1.9148809523809525,0.47698039058698016,1.3100000000000005,0.3138656320196039,7.558000000000002,-0.19430172816440916,-0.6785732127691462,0.15370000000000003,0.15570535321379989,0.09819419703506749,1.2177723778494822,0.037086884881854174,2,28.5,104A,0.08,25.87,25.37,grain,0.54,0.5,0.36,0.29,24.03,1.01,0.4,3,0.01
0.0779,0.1212,0.1511,0.3183,0.2288,312.3,0.1505,0.016,0,66,0,0.6067642604745079,0.2656498252303781,14.423749569090477,0.6067642604745079,1.6262376237623766,67.72174723384428,3.2741295787994646,0.16720000000000002,0.25477707006369427,0.2486703868073816,0.013399999999999995,0.45837957824639286,0.2303826826439892,0.632188042959062,0.5675380283149136,0.028425965210012717,0.44846416382252563,0.07788689468337291,0.4208559782608696,0.19412399999999996,0.16314480480535845,-0.21699437509744646,0.3579351535836178,-0.30742857142857144,-0.07950258400393179,0.23932254793472307,0.6278161716313093,0.19412399999999996,0.16314480480535845,0.3579351535836178,0.9708971311047366,-0.16358983732407242,-8.72124486585823,-0.30742857142857144,0.3561994034938219,0.9707828013369856,-0.44846416382252563,-0.10980536173338235,-0.1972352344190154,0.605143721633888,3.391702553873688,0.2656498252303781,0.24404208707550226,2.1065519523494376,0.3443632717375735,0.2275758813121002,2.1065519523494376,0.47403881855340424,1.5515000000000003,0.3561994034938219,8.836000000000002,-0.15380658436213998,-0.6519980320341114,0.16720000000000002,0.21146895123452017,0.1262015419423551,1.2888573235134493,0.022341800861174786,3,30.17,104B,0.1,25.9,23.07,grain,0.12,0.47,0.04,0.26,24.3,0.95,0.38,4,0
0.08270000000000001,0.11320000000000001,0.1341,0.2398,0.2288,305.3,0.1242,0.016,8,66,0,0.4871317829457365,0.1979771492788912,29.858901759734373,0.4871317829457365,1.1183745583038869,63.24129851949957,2.5094878822310176,0.10570000000000002,0.18554927500614404,0.1692131349094542,0.009600000000000011,0.4224719101123597,0.1007574018820289,0.5235511880546082,0.48452138114433424,0.021660649819494608,0.3586402266288951,-0.015397249024840907,0.4041322314049587,0.11960400000000004,0.10362820942639273,-0.16782678860475259,0.3175824175824176,-0.3380116959064327,-0.1285594164316529,0.16022770942702935,0.4720444173546707,0.119604,0.10362820942639268,0.3175824175824176,0.9688673789899667,-0.023474178403755888,-8.444820444469286,-0.3380116959064327,0.2826959079967906,0.9664274498380286,-0.3586402266288951,-0.08451273756570961,-0.3997617169241316,0.39256678281068524,2.5784474165590305,0.1979771492788912,0.17286109300609195,1.7882177479492918,0.2375803402646503,0.15386854938496256,1.7882177479492918,0.3789807060202947,1.0985000000000003,0.2826959079967906,5.506,-0.12697448359659771,-0.6966093117408907,0.10570000000000002,0.192423547424079,0.07974727405484258,1.1733160289700573,0.013728303782293743,4,29.27,105A,0.65,28.2,26.1,corn,0.24,0.07,0.5,0.56,25.6,0,2.23,5,3.73
0.08510000000000001,0.1159,0.1366,0.2432,0.2353,305.3,0.1406,0.016,8,66,0,0.4815717331708802,0.19748054835124118,28.65181738477672,0.4815717331708802,1.098360655737705,56.65672223156664,2.4731325761326186,0.1066,0.18707662068723457,0.1696328546695183,0.010099999999999998,0.423937360178971,0.09500225123818096,0.5203555518997298,0.4855181258725665,0.022271223814773974,0.35449735449735453,-0.018761347589267705,0.3624454148471616,0.12121200000000001,0.10460119775417556,-0.16286581514546913,0.2673267326732673,-0.33997722095671984,-0.12954882467370332,0.16083736383589986,0.4680091832042532,0.12121199999999999,0.10460119775417555,0.2673267326732673,0.9653119372279367,-0.01650992685475442,-8.603940217391296,-0.33997722095671984,0.2806740389678778,0.9662821579807622,-0.35449735449735453,-0.08198019801980197,-0.3956845352431801,0.4394791358390056,2.53902022398056,0.19748054835124118,0.17297356027432567,1.780380673499268,0.23804863359180906,0.15451514712277142,1.780380673499268,0.3832536067606761,1.1234999999999997,0.2806740389678778,5.5680000000000005,-0.12365591397849461,-0.6977380064628386,0.1066,0.19329173818064238,0.07861535547588683,1.170646116023544,0.012931003814302289,5,25.87,105B,0.52,26,27.53,corn,0.22,0.07,0.22,0.46,26.03,0,1.17,6,1.35
0.1208,0.16340000000000002,0.2091,0.3558,0.3909,313.6,0.2792,0.016,0,66,0,0.493075954678976,0.20237274106773348,10.060316628345245,0.493075954678976,1.1774785801713583,40.63632974679843,2.7864796273796273,0.1467,0.21517836188688105,0.19742791929545014,-0.0030999999999999778,0.37085856786604904,0.11187499999999999,0.48656973533678044,0.5061546114513087,-0.004720572559768505,0.37057010785824346,-0.022930111217904774,0.20741721854304632,0.139956,0.10889179217207762,-0.24173071710026223,0.12062992125984252,-0.4104275662998376,-0.12354084429121036,0.19323404856572957,0.4268421610963083,0.139956,0.1088917921720776,0.12062992125984252,0.9519650264045237,0.04700683005222984,-5.684277917793661,-0.4104275662998376,0.25969198088157197,0.9638071338721693,-0.37057010785824346,-0.12268456375838922,-0.2457787404015161,0.522139037433155,2.898626037804879,0.20237274106773348,0.1951840505659379,1.7015781922525106,0.31829879452796966,0.18748801840373186,1.7015781922525106,0.5127033921531027,0.956500000000001,0.25969198088157197,6.973999999999999,-0.18156535558204207,-0.7091711623344777,0.1467,0.1391100911718944,0.06733786844567782,1.1443992763670083,0.0292367001109184,6,28.2,107A,0.23,26.83,29.1,corn,0.36,0.44,0.77,0.12,25.1,0.77,0.32,7,0.33
0.1066,0.1451,0.1826,0.3422,0.33580000000000004,313.6,0.2331,0.016,0,66,0,0.5249554367201427,0.23306074766355137,11.56609560997275,0.5249554367201427,1.3583735354927637,46.812483036972836,2.9678773782286605,0.1596,0.24354513825306717,0.22410190739367794,0.0010000000000000009,0.4434273160014646,0.15238255598585612,0.5567407320750101,0.5410491399097899,0.0017259233690024177,0.4044736302072645,0.021645021645021665,0.27196893427297575,0.17132399999999995,0.13764728607472881,-0.22590955308559685,0.18964018772814184,-0.39654813890621754,-0.10079113282715123,0.21761946876323457,0.5155675646435679,0.17132399999999995,0.13764728607472881,0.18964018772814184,0.9581699197999524,-0.009439528023598763,-7.060633547632961,-0.39654813890621754,0.30411585365853655,0.9670830551901654,-0.4044736302072645,-0.11443393347574003,-0.21854846986748522,0.5383232187008314,3.079068078118848,0.23306074766355137,0.22031089451931882,1.8740416210295727,0.3252346769740475,0.20933892969569778,1.8740416210295727,0.4992463683119253,0.9975,0.30411585365853655,8.076,-0.169606512890095,-0.6843464625034591,0.1596,0.18490945022482666,0.09222364977947665,1.2031858392368848,0.025346740903286907,7,29.3,107B,0.18,27.97,28.83,grain,0.15,0.54,0.12,0.12,25.9,0.87,0.02,8,0.13
0.0755,0.1159,0.1511,0.32180000000000003,0.2386,314.5,0.1506,0.016,0,66,0,0.6199345582683111,0.2697108547953863,14.054724882274106,0.6199345582683111,1.7765314926660918,67.94232714082726,3.619792135822662,0.17070000000000002,0.25674578106669077,0.2533482937949705,0.005199999999999996,0.46287744227353467,0.2540919719407638,0.6387079469357672,0.5721937597036646,0.011343804537521806,0.47041352524560204,0.09307065217391307,0.42403781228899406,0.19089600000000007,0.16036087051954076,-0.2591659722226053,0.3624047417442845,-0.3461212976022567,-0.07578936186485778,0.24391139481730562,0.6385819400327818,0.19089599999999998,0.1603608705195407,0.3624047417442845,0.9709902452826312,-0.14846538187009284,-7.596010897508335,-0.3461212976022567,0.36096426305772894,0.9708953329483309,-0.47041352524560204,-0.1318352059925094,-0.18670246094288098,0.570522205954124,3.776700943105015,0.2697108547953863,0.24822691172383854,2.129715420251489,0.3525370357117298,0.23178762984588228,2.129715420251489,0.478002946427822,1.1919999999999997,0.36096426305772894,8.834,-0.18381201044386428,-0.6488432998690528,0.17070000000000002,0.20954650351657783,0.12956283853372189,1.2976960182064592,0.032503291991900586,8,29.6,108A,0.1,26.4,27.67,grain,0.36,0.09,0.63,0.09,26.1,0,0.02,9,0
0.0755,0.11850000000000001,0.1414,0.33540000000000003,0.2288,314.1,0.14400000000000002,0.016,4,66,0,0.6325139936724263,0.3046482412060302,12.893390229285734,0.6325139936724263,1.830379746835443,74.15366656054334,3.377347647278748,0.19400000000000003,0.29983617198850115,0.28959373283336126,0.02010000000000002,0.5339462517680339,0.26709482432942955,0.6981750376942304,0.606857200728055,0.04428288169200269,0.4778585591539987,0.12682681001175877,0.452786119452786,0.24363600000000005,0.20724866532901945,-0.17486406388960452,0.3992490613266583,-0.3175928591995393,-0.046107341394222096,0.2787195171375235,0.7471518942153778,0.24363600000000005,0.20724866532901945,0.3992490613266583,0.9733878586164681,-0.18894009216589866,-12.464717875807558,-0.3175928591995393,0.4068791946308726,0.9738620760166772,-0.4778585591539987,-0.08811081185071176,-0.1138543472380271,0.5963826749167064,3.4741833651445972,0.3046482412060302,0.2809529564862938,2.371994342291372,0.3684173222765611,0.26273022751895997,2.371994342291372,0.4940265801942611,1.778500000000001,0.4068791946308726,10.724000000000004,-0.12418655097613877,-0.6165542471704583,0.19400000000000003,0.27648478851245334,0.16405466013001818,1.3925009263297867,0.014289961757065534,9,30.73,108B,0.08,27.07,27,grain,0.42,0.07,0.81,0.08,25.33,0.03,0.01,10,0
