T0630,FIELD,SM0630,T0614,T0513,CROP,SM0529,SM0513,SA0529,SM0614,T0529,SA0513,SA0614,sampling p,SA0630,sr_atmos_opacity,SAVIT,GRNDVI,RVI,CSIT,GLI,kVARI,VARI,kRVI,NDVI,pixel_qa,NGRDI,NBRT,MNDVI,radsat_qa,EVI2,GEMI,kEVI,kNDVI,NBR,NDDI,CIG,NDVIT,SAVI,NDSI,GBNDVI,GVMI,BAI,NDWI,BNDVI,sr_cloud_qa,B1,B2,GARI,B3,B4,B5,B6,MNDWI,B7,CVI,EVI,GNDVI,system:index
21.2,110A,0.44,22.8,23.8,corn,0.35,0.1,0.59,0.13,16.83,0.03,0.05,11,0.86,0.016,0.4145585542713235,0.07444667,2.2343097,62.59078077596702,0.06250002014880601,0.002870238522747998,-0.0582524,1.3381431294597343,0.38163,66,-0.039130416,0.9685489000827638,0.31010795,0,0.23732139795764287,0.5491297406169071,0.31868332842533104,0.14462037212318465,0.31010795,-24.171566,1.41628949085834,0.9732055684838911,0.21276595012948318,-0.348659,0.17880793,0.3912054577900523,23.13248787605152,-0.41456953,0.5591241,8,0.0755,0.1105,0.56109726,0.1195,0.267,0.2288,303.4,-0.348659,0.1406,2.613091259166844,0.2600952109317841,0.41456953,10_0
21.27,110B,0.47,21.43,24.53,alfalfa,0.43,0.13,0.93,0.12,16.57,0.06,0.03,12,0.91,0.016,0.4962714116329998,0.24139208,3.1933334,91.75742681257238,0.07825148182317677,0.0011465761966466907,-0.03666425,1.7283510108756073,0.52305245,66,-0.024890175,0.9784383841949253,0.47029158,0,0.3627228676936695,0.666172488762451,0.5163622472565012,0.2669564905586903,0.47029158,-59.61103,2.356356348368267,0.981232066263824,0.31979449081525185,-0.40393797,0.33852294,0.5111959627238367,13.189986467966412,-0.5409007,0.67190224,8,0.0658,0.0999,0.7144939,0.105,0.3353,0.2353,302.5,-0.40393797,0.1208,3.5277017646705073,0.39118767743584476,0.5409007,11_0
26.9,111A,0.13,24.67,25.23,alfalfa,0.15,0.26,0.06,0.5,25.07,0.43,0.94,13,0.04,0.016,0.6111584063389912,0.4897685,6.2637515,140.10891406201645,0.12193438375535681,0.008654247143450658,0.10740358,2.8584078565543383,0.7246602,66,0.067718625,0.985826550978055,0.6196207,0,0.5779737979973008,0.8419786449892788,1.0230334809145305,0.48165148051868895,0.6196207,41.857903,4.469211486372411,0.9903434014307257,0.49267325883877255,-0.447243,0.52742904,0.6280670221189936,6.739470279048922,-0.6908433,0.7753348,4,0.0562,0.0812,0.9221398,0.0709,0.4441,0.2126,303.9,-0.447243,0.1043,4.775456656813139,0.644337008837787,0.6908433,12_0
27.07,111B,0.14,23,24.93,alfalfa,0.15,0.26,0.03,0.54,25.23,0.45,1.37,14,0.07,0.016,0.5588246461328267,0.33152726,3.928072,95.72772692693299,0.07961163234632397,3.7547379722126885E-4,-0.021276616,2.02598582161924,0.59416175,66,-0.014184411,0.9793234053612074,0.49137112,0,0.4485931587666235,0.7442673137859162,0.6543690423561859,0.3390583704289213,0.49137112,-131.58186,3.041110052272752,0.9845252309802632,0.3925534109406783,-0.42612797,0.41362575,0.523868371890105,9.007202966995656,-0.603262,0.71328974,4,0.0658,0.0973,0.7922471,0.1001,0.3932,0.2418,306.3,-0.42612797,0.1341,4.15740110033854,0.48840233055730137,0.603262,13_0
31.33,113A,0.17,28.13,27.1,alfalfa,0.14,0.07,0.06,0.06,24.93,0.13,0.03,15,0.1,0.016,0.6916338233423422,0.5835193,9.068143,178.80224260951775,0.20266271190723212,0.047727723550944776,0.24862486,3.612266124609292,0.80135363,66,0.16142857,0.9888766682162944,0.68957305,0,0.7076345617173303,0.937886183449754,1.1250973294490203,0.5663736770675997,0.68957305,23.156397,5.547355589094879,0.9933088484653343,0.595348834791591,-0.4587217,0.6064584,0.6859085402345104,4.448933403256725,-0.7350065,0.83109736,8,0.0491,0.0813,0.95831525,0.0587,0.5323,0.2191,304.4,-0.4587217,0.0978,4.727303525830094,0.7808738675622593,0.7350065,14_0
30.7,113B,0.17,29.27,26.93,alfalfa,0.17,0.1,0.08,0.06,24.8,0.11,0.03,16,0.13,0.016,0.7033069533354468,0.6093174,10.126159,183.63859237079615,0.23101015726530663,0.06233420827316204,0.28004533,3.840484863487081,0.8202434,66,0.18641508,0.9891680283394734,0.6960845,0,0.7341089504136411,0.9545606166503519,1.1310804408882427,0.5868182513932702,0.6960845,21.782913,5.944020259513401,0.9940156840284923,0.6149902857295849,-0.47195163,0.6324211,0.6914614829709379,4.199442942846189,-0.7482383,0.84985596,8,0.0443,0.0786,0.9597315,0.0539,0.5458,0.2191,303.9,-0.47195163,0.0978,4.761866474416118,0.8001235947104279,0.7482383,15_0
29.7,117A,0.11,30.5,27.03,alfalfa,0.37,0.27,0.52,0.13,26.93,0.33,0.07,17,0.02,0.016,0.6014470353988645,0.2912177,3.4468086,80.91153929336461,0.04984928942312797,0.006128547641220698,-0.084515736,1.8322165055495863,0.55023926,66,-0.05705956,0.9755834157524857,0.43175122,0,0.44561873906970034,0.7504852963663682,0.5221206146525571,0.2938392965081941,0.43175122,-29.529781,2.863957665432999,0.9820928924381997,0.39698268587583785,-0.45655304,0.39166403,0.47031464077165674,6.985465616383186,-0.58881223,0.6973225,8,0.078,0.1132,0.7378719,0.1269,0.4374,0.3034,311.4,-0.45655304,0.1736,4.331592144160433,0.48100757204142464,0.58881223,16_0
30.37,117B,0.08,30.63,26.9,alfalfa,0.27,0.19,0.35,0.08,25.57,0.12,0.04,18,0.01,0.016,0.6136985511758425,0.25017327,3.1895335,77.43255217949918,0.06540126588549676,0.0038324138197753372,-0.06634305,1.726788036063176,0.52261984,66,-0.045471348,0.9745003835215914,0.41423643,0,0.43231530520981704,0.7406942153502019,0.46323355800487154,0.2665363154198383,0.41423643,-33.375927,2.4934161334682403,0.9806378308582724,0.38884703668877557,-0.43673646,0.35598317,0.4542095517217773,6.468516034568769,-0.55490434,0.68252194,4,0.0851,0.1291,0.70227396,0.1414,0.451,0.3293,311.8,-0.43673646,0.1868,3.826251290121337,0.4659422980402986,0.55490434,17_0
22.33,119A,0.16,24.57,24.27,alfalfa,0.14,0.25,0.05,0.1,21.4,0.41,0.02,19,0.06,0.016,0.6339049512390549,0.52758735,7.0786686,168.821407041361,0.15418499515678064,0.013635733355212393,0.1307531,3.1028319349171576,0.75243443,66,0.08638559,0.9882229217455906,0.6737614,0,0.6175685871072201,0.8719892806166331,1.006232506840001,0.5125318239387296,0.6737614,36.543713,4.952926547415032,0.9914503450203106,0.5238591971219427,-0.4415631,0.57118875,0.6725077308730643,5.969022216602447,-0.7123513,0.81005806,0,0.0491,0.0786,0.916318,0.0661,0.4679,0.2029,303.9,-0.4415631,0.0912,5.0062146110388515,0.6713450345308515,0.7123513,18_0
23.4,119B,0.33,24.87,24.43,alfalfa,0.15,0.21,0.1,0.1,22.73,0.24,0,20,0.73,0.016,0.4209579055707008,-0.028895574,1.7568954,44.05723067789849,0.02538649941110689,0.01067100846132177,-0.11320759,1.1627075050716844,0.2745463,66,-0.07443146,0.955612007886205,0.14794636,0,0.17899833788300698,0.49744709067834936,0.19035419210204155,0.07523324568399797,0.14794636,-9.141587,1.0394640019883008,0.965784146663042,0.1650580506425623,-0.34247246,0.07919624,0.2521768295902671,20.459093410381787,-0.34198925,0.46745247,0,0.0994,0.1343,0.4237634,0.1559,0.2739,0.2742,305.8,-0.34247246,0.2033,2.3674791986226293,0.20153026209424843,0.34198925,19_0
