B1,B2,B3,B4,B5,B6,B7,sr_atmos_opacity,sr_cloud_qa,pixel_qa,radsat_qa,ARVI,ATSAVI,BAI,BNDVI,CIG,CSIT,CVI,DVI,EVI,EVI2,ExG,GARI,GBNDVI,GDVI,GEMI,GLI,GNDVI,GRNDVI,GVMI,MCARI1,MCARI2,MGRVI,MNDVI,MNDWI,MNLI,MSAVI,MSR,MTVI1,MTVI2,NBR,NBRT,NDBI,NDDI,NDSI,NDVI,NDVIT,NDWI,NGRDI,NLI,NMDI,OCVI,OSAVI,RDVI,RVI,SARVI,SAVI,SAVI2,SAVIT,TGI,TSAVI,TVI,VARI,WDRVI,WDVI,kEVI,kNDVI,kRVI,kVARI,system:index,T0630,FIELD,SM0630,T0614,T0513,CROP,SM0529,SM0513,SA0529,SM0614,T0529,SA0513,SA0614,sampling p,SA0630
0.08800000000000001,0.1177,0.1456,0.2243,0.2404,299.5,0.1691,0.052000000000000005,0,66,0,0.43643932116554585,0.14851858841290808,34.39516954238947,0.43643932116554585,0.9056924384027187,44.28828256042745,2.357424120912794,0.07869999999999999,0.13683149036789763,0.12502065144178834,0.0017999999999999822,0.29841656516443354,0.04325581395348838,0.4070925893425871,0.4410797350049424,0.003837953091684397,0.3116959064327486,-0.07998359310910579,0.26334242306194006,0.06980399999999996,0.05936235761653031,-0.2095724574318918,0.14031520081342147,-0.34264172018989114,-0.1593589332927417,0.11832104822031975,0.33911880971144487,0.06980399999999998,0.05936235761653032,0.14031520081342147,0.9558384666644969,0.03464600817731871,-5.30097939108049,-0.34264172018989114,0.21276020546093535,0.9618585999379341,-0.3116959064327486,-0.10596278009874671,-0.48639309717412277,0.5175913396481733,2.4390421681426426,0.14851858841290808,0.1293994906086404,1.5405219780219779,0.207726891716833,0.11489889772976129,1.5405219780219779,0.3580146681990452,0.805499999999999,0.21276020546093535,3.605999999999999,-0.15915573302909308,-0.7330238647860501,0.07869999999999999,0.11990712347174595,0.0452360116541444,1.0947585208623474,0.021799807988533586,10,21.2,110A,0.44,22.8,23.8,corn,0.35,0.1,0.59,0.13,16.83,0.03,0.05,11,0.86
0.07100000000000001,0.1043,0.1187,0.32980000000000004,0.2243,298.5,0.1396,0.054,0,66,0,0.6457085828343313,0.34691865242399345,13.672085688976727,0.6457085828343313,2.1620325982742092,79.1445287564854,3.598593187105931,0.21110000000000004,0.34961907916528656,0.3268449476057176,0.0189,0.6508052708638362,0.30588002375767176,0.7706340496442511,0.6373452255236522,0.04745166959578207,0.5194655609306612,0.19319826338639656,0.4584323040380049,0.28151999999999994,0.24894819104603116,-0.1286116969679007,0.40519812526629745,-0.3651856360316494,-0.016182840899059133,0.31369144552720307,0.914916900732063,0.28152000000000005,0.2489481910460312,0.40519812526629745,0.9750450837876047,-0.1903988449738315,-20.295892712755215,-0.3651856360316494,0.47068004459308815,0.9787414589339375,-0.5194655609306612,-0.06457399103139011,-0.043663100978933014,0.5913148371531967,3.6738327312616987,0.34691865242399345,0.31521509705850215,2.7784330244313398,0.3695031410622502,0.2914739385571281,2.7784330244313398,0.48938158791143044,1.494,0.47068004459308815,12.090000000000002,-0.09473684210526313,-0.5651371308016877,0.21110000000000004,0.4074348265744124,0.21798509419111758,1.5574960082522806,0.00782507320036917,11,21.27,110B,0.47,21.43,24.53,alfalfa,0.43,0.13,0.93,0.12,16.57,0.06,0.03,12,0.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,26.9,111A,0.13,24.67,25.23,alfalfa,0.15,0.26,0.06,0.5,25.07,0.43,0.94,13,0.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27.07,111B,0.14,23,24.93,alfalfa,0.15,0.26,0.03,0.54,25.23,0.45,1.37,14,0.07
0.0453,0.0726,0.0579,0.6014,0.1951,299.5,0.0838,0.034,8,66,0,0.8599041286531622,0.6633711705114123,3.3911367283608245,0.8599041286531622,7.2837465564738295,239.61973217096119,6.606459030576237,0.5435000000000001,0.8444423728286877,0.7807292744029972,0.04199999999999999,0.9534540081270777,0.6721812873627138,0.9816323597145115,0.9874994432176805,0.16908212560386468,0.7845697329376855,0.6433939062713486,0.7421758569299552,0.8055720000000001,0.7216489090080205,0.22246459248744943,0.7553998832457677,-0.4576017930519238,0.42798791272326403,0.7463197837107794,2.78175404788451,0.805572,0.7216489090080204,0.7553998832457677,0.9916881297225493,-0.510106716886378,40.436082247997255,-0.4576017930519238,0.8243591688154104,0.994249686808873,-0.7845697329376855,0.11264367816091952,0.7240110132475667,0.6876666198961695,6.371584644929179,0.6633711705114123,0.6693573098511554,10.386873920552677,0.675411428918443,0.6550955222081601,10.386873920552677,0.7481169455876556,2.1525,0.8243591688154104,33.198,0.1725352112676056,0.018976618095560876,0.5435000000000001,1.0829187931122266,0.5912385038927411,3.892828749885975,0.02327448130296356,14,31.33,113A,0.17,28.13,27.1,alfalfa,0.14,0.07,0.06,0.06,24.93,0.13,0.03,15,0.1
0.050100000000000006,0.0752,0.0555,0.5981000000000001,0.1951,299.0,0.08700000000000001,0.034,8,66,0,0.8454180808392471,0.666912487708948,3.4301568274561824,0.8454180808392471,6.953457446808511,229.92349978856728,5.8699054294929836,0.5426000000000001,0.8721509628057995,0.7835152775371109,0.044800000000000006,0.979557069846678,0.6535803151783246,0.9829256261282792,0.9884942481310188,0.17500000000000002,0.7766226050794592,0.6413282107574094,0.734194509998758,0.8120760000000001,0.7339944191972168,0.2947572433199127,0.7460224784702965,-0.4435812060673326,0.42770812468948216,0.7507909013573069,2.848900464972112,0.812076,0.7339944191972165,0.7460224784702965,0.9913391231215913,-0.5080685829551185,30.006187953901275,-0.4435812060673326,0.830171358629131,0.9944662814400006,-0.7766226050794592,0.15072685539403213,0.7313803052056973,0.6938544321721892,5.591433024142961,0.666912487708948,0.6711564491176156,10.776576576576577,0.6649678437082879,0.6562651185292696,10.776576576576577,0.7456627932405713,2.1955,0.830171358629131,33.344,0.24441687344913152,0.03737750411933057,0.5426000000000001,1.1707148907252645,0.5974578436730582,3.9684237254783676,0.04301384176118617,15,30.7,113B,0.17,29.27,26.93,alfalfa,0.17,0.1,0.08,0.06,24.8,0.11,0.03,16,0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,29.7,117A,0.11,30.5,27.03,alfalfa,0.37,0.27,0.52,0.13,26.93,0.33,0.07,17,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,30.37,117B,0.08,30.63,26.9,alfalfa,0.27,0.19,0.35,0.08,25.57,0.12,0.04,18,0.01
0.0833,0.1258,0.1285,0.36360000000000003,0.321,309.1,0.2084,0.051000000000000004,0,66,0,0.6272096665920789,0.36052752645299807,10.75439846831555,0.6272096665920789,1.8903020667726556,56.44521802198321,2.952335576949811,0.23510000000000003,0.38927708050468596,0.35152511961722493,0.03979999999999999,0.6805653710247351,0.2697747511786276,0.7779376038590288,0.6640538417737792,0.08588692274492876,0.4859011033919085,0.1768894643146141,0.33988439306358387,0.334332,0.28880405325247244,-0.021232368593003464,0.27132867132867133,-0.43688451208594453,0.005877600418102639,0.33861908606121693,0.9349198544271617,0.334332,0.28880405325247244,0.27132867132867133,0.9651842212656475,-0.062226117440841396,-118.2003626288549,-0.43688451208594453,0.4777484251168462,0.9783882575257005,-0.4859011033919085,-0.010617381046008683,0.014211313816200636,0.5270894582108357,2.9623837575006253,0.36052752645299807,0.3351397540504119,2.829571984435798,0.38744902895846295,0.3151263320152805,2.829571984435798,0.5259365972584105,2.4554999999999993,0.4777484251168462,13.998000000000001,-0.015789473684210575,-0.558898459298799,0.23510000000000003,0.4506626771802219,0.22436098429772275,1.5785190784777179,2.089121709071581E-4,18,22.33,119A,0.16,24.57,24.27,alfalfa,0.14,0.25,0.05,0.1,21.4,0.41,0.02,19,0.06
0.07350000000000001,0.1124,0.1139,0.4178,0.263,306.7,0.1495,0.054,0,66,0,0.7007938123346223,0.4393523203701026,7.799457235770963,0.7007938123346223,2.7170818505338077,91.11994879137393,3.766687035371892,0.3039,0.49017710248717705,0.4492478535443128,0.03739999999999999,0.7663389242336611,0.38413119098890175,0.861641267626175,0.7503222843956123,0.09073265405143131,0.5760090531874764,0.2973140816643378,0.5067656045395025,0.435276,0.380004918591316,-0.013256156429284675,0.47294200599330155,-0.4011720831113479,0.09415424423529777,0.4334893145923787,1.2349105699240561,0.435276,0.380004918591316,0.47294200599330155,0.9782891759467925,
